TEXT,TARGET,LABEL
"I don't know how girls nowadays expect to be treated with respect when they go out wearing next to nothing, looking like sluts.",Gender,gender_bias
"Women deserve respect whatever they're wearing because they are human beings, it shouldn't matter what clothes someone is wearing.",Gender,gender_bias
But they go out in tiny skirts with their boobs out and wonder why guys don't see them as more than a sex object? They're sexualising themselves.,Gender,gender_bias
"Even if someone is sexualising themselves, it's not your problem or your business. Why do you care what someone else you don't even know wears? There are probably some women who don't agree with your fashion choices but they don't tell you because it's none of their business.",Gender,gender_bias
Called a woman a 'bird' the other day and she got mad at me. You can't say anything anymore! Lasses are too easily offended these days.,Gender,gender_bias
It's because it's dehumanising and is sometimes used in a derogatory or objectifying way. Maybe refer to women as women and you won't have a problem?,Gender,gender_bias
"I didn't say it to be derogatory, she just took it the wrong way, and I should be able to say what I want.",Gender,gender_bias
"Sure, you can say what you want, but there's a basic level of respect that you need to have for another person if you want them to treat you with respect back e.g. you can say 'bird' if you want but the woman you said it to can be angry back at you if she wants because she doesn't like being called that!",Gender,gender_bias
Why are there so many female politicians these days? Women are not natural born leaders like men are.,Gender,gender_bias
"How can you say that? There are so many female politicians doing a great job, showing that they can lead as well as men, sometimes better.",Gender,gender_bias
"Oh yeah? Like who? There are female politicians but not many female leaders as they never get that far, because they're not cut out for it.",Gender,gender_bias
"Jacinda Arden, the Prime Minister of New Zealand, for one. She managed to lead a country through a pandemic more successfully than any other countries ruled by men, and has dealt well with events like extreme weather events, terrorist attacks, all done diplomatically and calmly.",Gender,gender_bias
"The jews are the reason we have the problems we have today. Diversity, immigration, feminism, it's all part of their plan to destroy European people and their culture.",Religion,religion_bias
"This isn't true, what gave you this idea?",Religion,religion_bias
"Have you read about the Kalergi Plan? If not, I'd suggest you look it up. It explains how the jews in power are the ones pushing these societal changes to subordinate white people.",Religion,religion_bias
"The Kalergi Plan is an anti-Semitic conspiracy theory, it's not based in any truth. Please look up some critiques of it, there's a lot of literature on the internet about it but if you only read one side, you can end up believing things that are wildly untrue!",Religion,religion_bias
Jews always pretend to be persecuted victims when in reality they're the ones controlling us.,Religion,religion_bias
"Jewish people have historically been persecuted and anti-Semitism today still stems from these historic events, but Jewish people aren't 'controlling us', what gives you that idea?",Religion,religion_bias
"There are a disproportionate amount of Jews in positions of power like government, media, banks etc. There's an imbalance of power.",Religion,religion_bias
"Yes, some fields have disproportionate amounts of certain demographics, but this doesn't mean Jewish people are all in on some plot to 'control' us. There's also a disproportionate number of white men in positions of power but there's no conspiracies about them getting together as a group to exert 'control'.",Religion,religion_bias
The holocaust never happened. It's all a lie to make people feel sorry for Jews.,Religion,religion_bias
"There's lots of evidence that the holocaust happened, survivors, concentration camps, documents, millions of lives ended. How can you say it never happened when there's so much evidence to show that it did?",Religion,religion_bias
"That's all fabricated, I've been reading about it and it can all be explained.",Religion,religion_bias
"What about the 6 million people that died? The Jewish population wasn't decimated for no reason, there was a genocide. To deny this is ignorant and insulting.",Religion,religion_bias
"Jews are the reason we have so many third world immigrants in our country, they want us whites replaced.",Religion,religion_bias
"This isn't true, what makes you say this?",Religion,religion_bias
"They are consciously trying to replace the white race, you should read about the Great Replacement, it explains exactly what's happening.",Religion,religion_bias
"The great replacement is an anti-Semitic conspiracy theory that's not based in facts or evidence. If you're going to do so much research into it, you should also read the criticisms of it, to get a balanced view.",Religion,religion_bias
homosexuals are mentally ill. No one in their right mind would think this perverted behaviour is okay.,Gender,gender_bias
"Being gay isn't a mental illness, it's a perfectly normal lifestyle.",Gender,gender_bias
There's nothing normal about two men being together.,Gender,gender_bias
"I suggest you educate yourself about the LGBT community. If you actually talked to some real gay people you'd see that there's really no difference between you and them, everyone is just trying to live their lives in a way that makes them happy.",Gender,gender_bias
How much danger are we putting children in by letting gay couples adopt? We don't know how they're raising them or what they might do to them...,Gender,gender_bias
"There are so many gay couples that give kids great lives through adoption, why do you think they shouldn't adopt?",Gender,gender_bias
They might try and indoctrinate the kids into being gay too.,Gender,gender_bias
"Just because the parents are gay doesn't mean they would raise their kids as 'gay'. If anything gay parents know what it's like to be scared of coming out, and so would probably want their kids to feel comfortable being whatever they are.",Gender,gender_bias
"The kids will grow up in a twisted family structure too though, they'll think it's normal to not have a mum, or in lesbian couples, a father.",Gender,gender_bias
They're being adopted? I'm sure these children care more that their adoptive parents are caring and loving rather than what gender they are. Isn't it better that a same sex couple adopts rather than a child growing up without a family?,Gender,gender_bias
"Cultural Marxism hates the traditional family and wants to destroy it. This is what the LGBT agenda wants, itâ€™s not about equality or pride, itâ€™s sinister!",Gender,gender_bias
"LGBT people have no agenda, they're just trying to get on with their lives in peace! What do you mean about the traditional family?",Gender,gender_bias
"Teaching people it's alright to be in same sex relationships means there will be less traditional nuclear families in the future, which will be bad for our society.",Gender,gender_bias
I don't think it's necessary for people to be in nuclear families for 'society'. Same sex relationships and families are valid and real. Why do you care what other people's relationships or families look like?,Gender,gender_bias
How will they have children?,Gender,gender_bias
"They can adopt, use surrogacy, or they might not want children and that's okay too!",Gender,gender_bias
"Fags want their agenda taught in schools now, this is harmful to our children and has got to stop!",Gender,gender_bias
What exactly have you seen will be taught in schools?,Gender,gender_bias
They want learning about LGBT to be part of sex and relationship education. How many children are going to grow up thinking these freaks are 'normal'?,Gender,gender_bias
"LGBT relationships are normal and completely valid. If we're teaching children about straight relationships, why wouldn't we teach them about other orientations too?",Gender,gender_bias
"But teaching kids about this might encourage them to be gay, they're too young when they're in primary school and very easily influenced.",Gender,gender_bias
Have you heard of the term 'compulsory heterosexuality'? There is a lot of conditioning in our society that assumes all people are straight and forces them to behave in a way in line with this. I wouldn't worry about LGBT relationships being acknowledged in schools 'turning' kids gay when so much of our media and socialisation tells people they are straight.,Gender,gender_bias
Poofs spread AIDS,Gender,gender_bias
"The HIV AIDS epidemic in the 80's disproportionately affected the LGBT community but today HIV is easily dealt with with medication which makes it untransmitable and undetectable. It's also not very common, in gay or straight people.",Gender,gender_bias
How are we meant to know which ones have it though?,Gender,gender_bias
"That's not your problem. As I said, people who have HIV now have medication which makes the disease manageable, untransmitable, and undetectable. Also, you can only catch HIV through sex or if it were to get in your bloodstream, not just from being around someone. The biggest issue with HIV today is the stigma around it!",Gender,gender_bias
"LGBT history month now being taught in schoolsâ€¦ Iâ€™m sick of this being shoved down our throats, what happened to British, European and World history being taught? Identity politics gone mad.",Gender,gender_bias
"We still can teach British, European and World history, but part of that is looking at the history of groups which have been erased from our history previously. Looking at the some of the historic struggles of LGBT people in the UK can inform the future for everyone!",Gender,gender_bias
"Do we have to discuss the sexuality of everyone in history when itâ€™s largely irrelevant? If they were persecuted for it then fair enough, stick it in there and say how wrong it was, otherwise leave well alone.",Gender,gender_bias
"LGBT people have been persecuted until recently in the UK, and it's still illegal to be gay in over 70 countries. I think it's important that people see that there have always been LGBT people, throughout history and that LGBT identities are not 'new' or a 'trend', they're real.",Gender,gender_bias
"Pride disgusts me, homosexuals parading their deviant lifestyles in public like they have anything to be proud of.",Gender,gender_bias
"They do have a lot to be proud of! The LGBT community has fought hard to win basic rights for themselves, they should be proud of their struggle, and of their identities, especially when many have been told to be ashamed of them for so long.",Gender,gender_bias
"There's a reason they weren't accepted in the past, I can't believe we 'celebrate' this behaviour now.",Gender,gender_bias
"Yes, the reason was ignorance and fear of the otherness that some people saw in LGBT people. I'm glad we're at a place as a society now where the majority of people accept that everyone is different, and who somebody chooses to love is none of anyone's business, and is definitely not their problem!",Gender,gender_bias
Tolerating fag pride means we let the feminisation of our society happen. This will have consequences.,Gender,gender_bias
What do you mean by 'feminisation' and what are the consequences?,Gender,gender_bias
"Men aren't real men anymore, telling men it's okay to be gay or to dress in womens clothing is making men soft and eroding our traditional roles and the nuclear family.",Gender,gender_bias
